TransactionID;StoreID;StoreLocation;CustomerID;CustomerType;ProductID;ProductName;Category;Quantity;UnitPrice;TotalAmount;PaymentMethod;SalesDate;Salesperson
T06001;S004;Fourways;C2774;Guest;P0002;Bluetooth Speaker;Electronics;6;649.99;3899.94;Cash;2026/02/11;Liam Jacobs
T06002;S004;Fourways;C1277;Member;P0020;Table Lamp;Home & Decor;1;699.99;699.99;Cash;2026/03/24;Sophie Mthembu
T06003;S004;Fourways;C0148;Member;P0014;Yoga Mat;Sportswear;6;399.99;2399.94;Card;2026/05/14;Olivia Dlamini
T06004;S004;Fourways;C2482;Member;P0014;Yoga Mat;Sportswear;6;399.99;2399.94;Card;2026/05/04;Olivia Dlamini
T06005;S004;Fourways;C2574;Guest;P0013;Running Shoes;Sportswear;4;1499.5;5998.0;Mobile Pay;2026/06/11;Sarah Mokoena
T06006;S004;Fourways;C0189;Guest;P0005;Laptop Backpack;Accessories;2;549.99;1099.98;Card;2026/04/03;Emma Nkosi
T06007;S004;Fourways;C0568;Member;P0013;Running Shoes;Sportswear;3;1499.5;4498.5;Bank Transfer;2026/03/26;James Botha
T06008;S004;Fourways;C0310;Member;P0009;Electric Kettle;Appliances;5;499.99;2499.95;Bank Transfer;2026/06/25;Emma Nkosi
T06009;S004;Fourways;C1749;Guest;P0002;Bluetooth Speaker;Electronics;1;649.99;649.99;Mobile Pay;2026/05/02;Emma Nkosi
T06010;S004;Fourways;C1528;Guest;P0024;Storage Container Set;Kitchen;4;349.99;1399.96;Bank Transfer;2026/06/10;Michael Williams
T06011;S004;Fourways;C2674;Member;P0011;Denim Jeans;Clothing;1;799.99;799.99;Cash;2026/01/16;Jessica Naidoo
T06012;S004;Fourways;C2276;Guest;P0017;Face Moisturiser;Beauty;5;249.99;1249.95;Mobile Pay;2026/04/25;James Botha
T06013;S004;Fourways;C1294;Guest;P0025;Novel Book;Books;4;199.99;799.96;Cash;2026/05/16;Emma Nkosi
T06014;S004;Fourways;C0515;Guest;P0005;Laptop Backpack;Accessories;4;549.99;2199.96;Card;2026/03/22;Daniel Smith
T06015;S004;Fourways;C0029;Member;P0006;Coffee Maker;Appliances;5;1299.99;6499.95;Mobile Pay;2026/02/21;Noah Pillay
T06016;S004;Fourways;C1142;Member;P0018;Perfume;Beauty;4;899.99;3599.96;Bank Transfer;2026/05/29;Sarah Mokoena
T06017;S004;Fourways;C2930;Member;P0007;Air Fryer;Appliances;2;1799.99;3599.98;Card;2026/06/18;Sarah Mokoena
T06018;S004;Fourways;C2363;Member;P0010;Cotton T-Shirt;Clothing;1;249.99;249.99;Bank Transfer;2026/05/23;Emma Nkosi
T06019;S004;Fourways;C0793;Member;P0004;USB-C Charger;Electronics;1;299.99;299.99;Card;2026/01/24;Liam Jacobs
T06020;S004;Fourways;C1339;Member;P0019;Throw Blanket;Home & Decor;2;449.99;899.98;Cash;2026/03/06;Sarah Mokoena
T06021;S004;Fourways;C1750;Member;P0013;Running Shoes;Sportswear;4;1499.5;5998.0;Mobile Pay;2026/03/02;Olivia Dlamini
T06022;S004;Fourways;C0041;Member;P0003;Smart Watch;Electronics;3;1299.99;3899.97;Mobile Pay;2026/03/05;Sarah Mokoena
T06023;S004;Fourways;C2563;Member;P0013;Running Shoes;Sportswear;5;1499.5;7497.5;Bank Transfer;2026/02/18;Daniel Smith
T06024;S004;Fourways;C0708;Guest;P0005;Laptop Backpack;Accessories;5;549.99;2749.95;Mobile Pay;2026/05/27;Michael Williams
T06025;S004;Fourways;C2127;Member;P0016;Skincare Set;Beauty;4;599.99;2399.96;Card;2026/05/17;Daniel Smith
T06026;S004;Fourways;C0494;Member;P0013;Running Shoes;Sportswear;1;1499.5;1499.5;Cash;2026/01/22;Daniel Smith
T06027;S004;Fourways;C0332;Guest;P0018;Perfume;Beauty;2;899.99;1799.98;Card;2026/05/31;Sophie Mthembu
T06028;S004;Fourways;C1498;Member;P0016;Skincare Set;Beauty;5;599.99;2999.95;Cash;2026/02/25;Emma Nkosi
T06029;S004;Fourways;C0974;Member;P0007;Air Fryer;Appliances;1;1799.99;1799.99;Card;2026/02/20;Michael Williams
T06030;S004;Fourways;C2133;Guest;P0018;Perfume;Beauty;3;899.99;2699.97;Bank Transfer;2026/02/25;Daniel Smith
T06031;S004;Fourways;C2895;Guest;P0011;Denim Jeans;Clothing;2;799.99;1599.98;Card;2026/05/15;Daniel Smith
T06032;S004;Fourways;C0733;Member;P0019;Throw Blanket;Home & Decor;6;449.99;2699.94;Bank Transfer;2026/03/14;Liam Jacobs
T06033;S004;Fourways;C2589;Guest;P0018;Perfume;Beauty;1;899.99;899.99;Card;2026/06/29;Liam Jacobs
T06034;S004;Fourways;C1281;Member;P0012;Hooded Sweatshirt;Clothing;4;599.99;2399.96;Card;2026/01/02;Sophie Mthembu
T06035;S004;Fourways;C0942;Member;P0013;Running Shoes;Sportswear;3;1499.5;4498.5;Bank Transfer;2026/05/31;Michael Williams
T06036;S004;Fourways;C2839;Guest;P0019;Throw Blanket;Home & Decor;4;449.99;1799.96;Cash;2026/04/28;Daniel Smith
T06037;S004;Fourways;C2657;Member;P0015;Sports Bottle;Sportswear;1;199.99;199.99;Card;2026/04/28;Jessica Naidoo
T06038;S004;Fourways;C1333;Member;P0022;Cookware Set;Kitchen;4;1599.99;6399.96;Cash;2026/04/07;Noah Pillay
T06039;S004;Fourways;C1851;Member;P0005;Laptop Backpack;Accessories;3;549.99;1649.97;Card;2026/02/23;Noah Pillay
T06040;S004;Fourways;C1851;Member;P0005;Laptop Backpack;Accessories;4;549.99;2199.96;Card;2026/05/18;Liam Jacobs
T06041;S004;Fourways;C1957;Member;P0018;Perfume;Beauty;6;899.99;5399.94;Mobile Pay;2026/03/19;Noah Pillay
T06042;S004;Fourways;C1548;Member;P0004;USB-C Charger;Electronics;6;299.99;1799.94;Cash;2026/01/02;Olivia Dlamini
T06043;S004;Fourways;C2468;Guest;P0003;Smart Watch;Electronics;1;1299.99;1299.99;Card;2026/02/18;James Botha
T06044;S004;Fourways;C2302;Member;P0017;Face Moisturiser;Beauty;2;249.99;499.98;Card;2026/03/28;Liam Jacobs
T06045;S004;Fourways;C2965;Guest;P0006;Coffee Maker;Appliances;3;1299.99;3899.97;Cash;2026/03/14;Noah Pillay
T06046;S004;Fourways;C2149;Member;P0019;Throw Blanket;Home & Decor;3;449.99;1349.97;Cash;2026/01/31;Sarah Mokoena
T06047;S004;Fourways;C2559;Guest;P0007;Air Fryer;Appliances;1;1799.99;1799.99;Cash;2026/03/17;James Botha
T06048;S004;Fourways;C0674;Member;P0005;Laptop Backpack;Accessories;5;549.99;2749.95;Card;2026/05/22;Emma Nkosi
T06049;S004;Fourways;C2272;Guest;P0002;Bluetooth Speaker;Electronics;2;649.99;1299.98;Cash;2026/03/27;Noah Pillay
T06050;S004;Fourways;C2141;Member;P0008;Blender;Appliances;5;899.99;4499.95;Card;2026/03/24;Liam Jacobs
T06051;S004;Fourways;C1314;Member;P0008;Blender;Appliances;6;899.99;5399.94;Card;2026/03/01;Daniel Smith
T06052;S004;Fourways;C0953;Guest;P0020;Table Lamp;Home & Decor;6;699.99;4199.94;Mobile Pay;2026/06/06;Sarah Mokoena
T06053;S004;Fourways;C2724;Member;P0015;Sports Bottle;Sportswear;1;199.99;199.99;Cash;2026/06/16;Liam Jacobs
T06054;S004;Fourways;C2093;Guest;P0015;Sports Bottle;Sportswear;3;199.99;599.97;Cash;2026/05/24;Michael Williams
T06055;S004;Fourways;C2880;Guest;P0004;USB-C Charger;Electronics;2;299.99;599.98;Cash;2026/04/26;Sophie Mthembu
T06056;S004;Fourways;C1600;Guest;P0009;Electric Kettle;Appliances;1;499.99;499.99;Bank Transfer;2026/01/13;Sarah Mokoena
T06057;S004;Fourways;C0168;Guest;P0004;USB-C Charger;Electronics;2;299.99;599.98;Mobile Pay;2026/06/27;James Botha
T06058;S004;Fourways;C0344;Member;P0001;Wireless Headphones;Electronics;2;899.99;1799.98;Mobile Pay;2026/04/25;Olivia Dlamini
T06059;S004;Fourways;C1708;Guest;P0022;Cookware Set;Kitchen;6;1599.99;9599.94;Bank Transfer;2026/05/23;Sarah Mokoena
T06060;S004;Fourways;C2101;Member;P0015;Sports Bottle;Sportswear;3;199.99;599.97;Cash;2026/01/31;Michael Williams
T06061;S004;Fourways;C0183;Member;P0015;Sports Bottle;Sportswear;2;199.99;399.98;Card;2026/04/17;Sarah Mokoena
T06062;S004;Fourways;C0239;Member;P0015;Sports Bottle;Sportswear;5;199.99;999.95;Bank Transfer;2026/05/24;Sarah Mokoena
T06063;S004;Fourways;C2786;Member;P0011;Denim Jeans;Clothing;3;799.99;2399.97;Mobile Pay;2026/05/12;Sarah Mokoena
T06064;S004;Fourways;C2637;Guest;P0005;Laptop Backpack;Accessories;3;549.99;1649.97;Cash;2026/04/02;Jessica Naidoo
T06065;S004;Fourways;C1142;Member;P0024;Storage Container Set;Kitchen;1;349.99;349.99;Bank Transfer;2026/01/24;Olivia Dlamini
T06066;S004;Fourways;C0517;Member;P0025;Novel Book;Books;1;199.99;199.99;Mobile Pay;2026/05/22;Daniel Smith
T06067;S004;Fourways;C2785;Guest;P0014;Yoga Mat;Sportswear;6;399.99;2399.94;Card;2026/02/05;Sophie Mthembu
T06068;S004;Fourways;C0945;Guest;P0022;Cookware Set;Kitchen;4;1599.99;6399.96;Cash;2026/01/26;Olivia Dlamini
T06069;S004;Fourways;C1531;Member;P0007;Air Fryer;Appliances;4;1799.99;7199.96;Mobile Pay;2026/05/24;Daniel Smith
T06070;S004;Fourways;C0072;Member;P0006;Coffee Maker;Appliances;5;1299.99;6499.95;Card;2026/05/30;Daniel Smith
T06071;S004;Fourways;C1707;Member;P0020;Table Lamp;Home & Decor;1;699.99;699.99;Cash;2026/04/21;Sophie Mthembu
T06072;S004;Fourways;C1724;Member;P0017;Face Moisturiser;Beauty;5;249.99;1249.95;Card;2026/05/24;Sarah Mokoena
T06073;S004;Fourways;C2803;Member;P0020;Table Lamp;Home & Decor;1;699.99;699.99;Bank Transfer;2026/04/30;James Botha
T06074;S004;Fourways;C0502;Member;P0005;Laptop Backpack;Accessories;4;549.99;2199.96;Card;2026/01/07;Daniel Smith
T06075;S004;Fourways;C0170;Guest;P0012;Hooded Sweatshirt;Clothing;4;599.99;2399.96;Cash;2026/01/29;Sarah Mokoena
T06076;S004;Fourways;C0734;Guest;P0018;Perfume;Beauty;5;899.99;4499.95;Card;2026/06/13;Sarah Mokoena
T06077;S004;Fourways;C0734;Guest;P0012;Hooded Sweatshirt;Clothing;3;599.99;1799.97;Cash;2026/01/27;Noah Pillay
T06078;S004;Fourways;C0058;Guest;P0003;Smart Watch;Electronics;1;1299.99;1299.99;Card;2026/03/22;Daniel Smith
T06079;S004;Fourways;C1206;Guest;P0012;Hooded Sweatshirt;Clothing;4;599.99;2399.96;Cash;2026/01/21;James Botha
T06080;S004;Fourways;C0514;Guest;P0003;Smart Watch;Electronics;5;1299.99;6499.95;Cash;2026/04/14;Sarah Mokoena
T06081;S004;Fourways;C2200;Guest;P0007;Air Fryer;Appliances;1;1799.99;1799.99;Bank Transfer;2026/05/11;Jessica Naidoo
T06082;S004;Fourways;C1404;Guest;P0002;Bluetooth Speaker;Electronics;4;649.99;2599.96;Card;2026/02/16;Daniel Smith
T06083;S004;Fourways;C1531;Member;P0009;Electric Kettle;Appliances;6;499.99;2999.94;Cash;2026/01/18;Liam Jacobs
T06084;S004;Fourways;C2740;Guest;P0005;Laptop Backpack;Accessories;6;549.99;3299.94;Mobile Pay;2026/04/30;Michael Williams
T06085;S004;Fourways;C1900;Guest;P0025;Novel Book;Books;4;199.99;799.96;Mobile Pay;2026/02/22;Jessica Naidoo
T06086;S004;Fourways;C1114;Member;P0017;Face Moisturiser;Beauty;6;249.99;1499.94;Mobile Pay;2026/01/08;Olivia Dlamini
T06087;S004;Fourways;C2021;Member;P0020;Table Lamp;Home & Decor;2;699.99;1399.98;Cash;2026/04/01;Noah Pillay
T06088;S004;Fourways;C2690;Member;P0017;Face Moisturiser;Beauty;2;249.99;499.98;Card;2026/06/09;Michael Williams
T06089;S004;Fourways;C1290;Member;P0020;Table Lamp;Home & Decor;5;699.99;3499.95;Card;2026/03/17;Sarah Mokoena
T06090;S004;Fourways;C2444;Member;P0022;Cookware Set;Kitchen;1;1599.99;1599.99;Mobile Pay;2026/04/01;Emma Nkosi
T06091;S004;Fourways;C0647;Member;P0004;USB-C Charger;Electronics;2;299.99;599.98;Cash;2026/06/03;Daniel Smith
T06092;S004;Fourways;C2983;Member;P0012;Hooded Sweatshirt;Clothing;2;599.99;1199.98;Card;2026/04/27;Olivia Dlamini
T06093;S004;Fourways;C2170;Guest;P0023;Dinner Plate Set;Kitchen;6;499.99;2999.94;Cash;2026/01/05;James Botha
T06094;S004;Fourways;C2326;Guest;P0020;Table Lamp;Home & Decor;2;699.99;1399.98;Card;2026/06/30;Sarah Mokoena
T06095;S004;Fourways;C1420;Guest;P0024;Storage Container Set;Kitchen;6;349.99;2099.94;Bank Transfer;2026/06/12;Sophie Mthembu
T06096;S004;Fourways;C2308;Guest;P0021;Cushion Set;Home & Decor;3;299.99;899.97;Card;2026/02/20;Daniel Smith
T06097;S004;Fourways;C2938;Member;P0008;Blender;Appliances;4;899.99;3599.96;Cash;2026/04/26;Sophie Mthembu
T06098;S004;Fourways;C0703;Member;P0007;Air Fryer;Appliances;5;1799.99;8999.95;Card;2026/03/25;Olivia Dlamini
T06099;S004;Fourways;C0993;Guest;P0013;Running Shoes;Sportswear;4;1499.5;5998.0;Card;2026/05/20;Liam Jacobs
T06100;S004;Fourways;C2291;Guest;P0010;Cotton T-Shirt;Clothing;3;249.99;749.97;Bank Transfer;2026/04/22;Jessica Naidoo
T06101;S004;Fourways;C1032;Member;P0018;Perfume;Beauty;6;899.99;5399.94;Bank Transfer;2026/05/27;Sophie Mthembu
T06102;S004;Fourways;C1251;Member;P0002;Bluetooth Speaker;Electronics;1;649.99;649.99;Card;2026/06/13;Daniel Smith
T06103;S004;Fourways;C1233;Member;P0023;Dinner Plate Set;Kitchen;5;499.99;2499.95;Card;2026/01/25;Emma Nkosi
T06104;S004;Fourways;C0008;Member;P0018;Perfume;Beauty;1;899.99;899.99;Cash;2026/02/04;Olivia Dlamini
T06105;S004;Fourways;C0363;Member;P0013;Running Shoes;Sportswear;4;1499.5;5998.0;Bank Transfer;2026/02/04;Michael Williams
T06106;S004;Fourways;C2401;Guest;P0015;Sports Bottle;Sportswear;5;199.99;999.95;Mobile Pay;2026/01/19;Daniel Smith
T06107;S004;Fourways;C1387;Guest;P0011;Denim Jeans;Clothing;3;799.99;2399.97;Cash;2026/05/25;Liam Jacobs
T06108;S004;Fourways;C0839;Member;P0017;Face Moisturiser;Beauty;3;249.99;749.97;Card;2026/04/25;Liam Jacobs
T06109;S004;Fourways;C1232;Guest;P0013;Running Shoes;Sportswear;4;1499.5;5998.0;Bank Transfer;2026/03/23;Daniel Smith
T06110;S004;Fourways;C1723;Member;P0008;Blender;Appliances;3;899.99;2699.97;Cash;2026/02/06;Michael Williams
T06111;S004;Fourways;C1175;Guest;P0007;Air Fryer;Appliances;1;1799.99;1799.99;Card;2026/05/07;Olivia Dlamini
T06112;S004;Fourways;C0134;Member;P0020;Table Lamp;Home & Decor;2;699.99;1399.98;Card;2026/04/08;James Botha
T06113;S004;Fourways;C1790;Member;P0021;Cushion Set;Home & Decor;6;299.99;1799.94;Mobile Pay;2026/05/15;Emma Nkosi
T06114;S004;Fourways;C1285;Member;P0003;Smart Watch;Electronics;3;1299.99;3899.97;Bank Transfer;2026/05/12;Sophie Mthembu
T06115;S004;Fourways;C1408;Member;P0023;Dinner Plate Set;Kitchen;3;499.99;1499.97;Card;2026/05/08;Emma Nkosi
T06116;S004;Fourways;C0866;Member;P0022;Cookware Set;Kitchen;5;1599.99;7999.95;Bank Transfer;2026/06/08;Michael Williams
T06117;S004;Fourways;C0227;Guest;P0014;Yoga Mat;Sportswear;4;399.99;1599.96;Cash;2026/02/20;Sophie Mthembu
T06118;S004;Fourways;C1224;Member;P0022;Cookware Set;Kitchen;1;1599.99;1599.99;Bank Transfer;2026/05/15;Daniel Smith
T06119;S004;Fourways;C1623;Member;P0001;Wireless Headphones;Electronics;1;899.99;899.99;Bank Transfer;2026/03/10;Liam Jacobs
T06120;S004;Fourways;C2621;Member;P0001;Wireless Headphones;Electronics;6;899.99;5399.94;Cash;2026/05/26;Liam Jacobs
T06121;S004;Fourways;C1490;Guest;P0005;Laptop Backpack;Accessories;5;549.99;2749.95;Card;2026/04/29;Michael Williams
T06122;S004;Fourways;C1836;Guest;P0018;Perfume;Beauty;6;899.99;5399.94;Cash;2026/04/20;Noah Pillay
T06123;S004;Fourways;C0428;Member;P0020;Table Lamp;Home & Decor;2;699.99;1399.98;Bank Transfer;2026/04/07;Noah Pillay
