TransactionID;StoreID;StoreLocation;CustomerID;CustomerType;ProductID;ProductName;Category;Quantity;UnitPrice;TotalAmount;PaymentMethod;SalesDate;Salesperson
T02001;S002;Rivonia;C1175;Member;P0011;Denim Jeans;Clothing;3;799.99;2399.97;Card;2026/06/15;Olivia Dlamini
T02002;S002;Rivonia;C1945;Member;P0023;Dinner Plate Set;Kitchen;5;499.99;2499.95;Mobile Pay;2026/06/28;Liam Jacobs
T02003;S002;Rivonia;C0215;Guest;P0011;Denim Jeans;Clothing;2;799.99;1599.98;Bank Transfer;2026/01/17;Daniel Smith
T02004;S002;Rivonia;C0392;Member;P0008;Blender;Appliances;2;899.99;1799.98;Card;2026/04/16;James Botha
T02005;S002;Rivonia;C2383;Member;P0016;Skincare Set;Beauty;4;599.99;2399.96;Cash;2026/05/18;Daniel Smith
T02006;S002;Rivonia;C1805;Guest;P0015;Sports Bottle;Sportswear;5;199.99;999.95;Cash;2026/02/03;Emma Nkosi
T02007;S002;Rivonia;C0707;Member;P0025;Novel Book;Books;6;199.99;1199.94;Bank Transfer;2026/04/15;Emma Nkosi
T02008;S002;Rivonia;C1050;Member;P0014;Yoga Mat;Sportswear;3;399.99;1199.97;Bank Transfer;2026/05/25;Daniel Smith
T02009;S002;Rivonia;C0101;Member;P0005;Laptop Backpack;Accessories;2;549.99;1099.98;Card;2026/03/24;James Botha
T02010;S002;Rivonia;C2101;Guest;P0020;Table Lamp;Home & Decor;2;699.99;1399.98;Card;2026/02/10;Emma Nkosi
T02011;S002;Rivonia;C0607;Guest;P0012;Hooded Sweatshirt;Clothing;1;599.99;599.99;Bank Transfer;2026/04/19;Emma Nkosi
T02012;S002;Rivonia;C2992;Member;P0021;Cushion Set;Home & Decor;1;299.99;299.99;Bank Transfer;2026/03/29;James Botha
T02013;S002;Rivonia;C0138;Member;P0004;USB-C Charger;Electronics;5;299.99;1499.95;Bank Transfer;2026/01/20;Sophie Mthembu
T02014;S002;Rivonia;C2347;Guest;P0007;Air Fryer;Appliances;2;1799.99;3599.98;Mobile Pay;2026/05/09;Sophie Mthembu
T02015;S002;Rivonia;C1480;Member;P0005;Laptop Backpack;Accessories;3;549.99;1649.97;Card;2026/01/19;Daniel Smith
T02016;S002;Rivonia;C1796;Guest;P0024;Storage Container Set;Kitchen;3;349.99;1049.97;Mobile Pay;2026/01/05;James Botha
T02017;S002;Rivonia;C1773;Member;P0009;Electric Kettle;Appliances;6;499.99;2999.94;Bank Transfer;2026/06/08;Liam Jacobs
T02018;S002;Rivonia;C1712;Guest;P0003;Smart Watch;Electronics;2;1299.99;2599.98;Mobile Pay;2026/03/18;Sophie Mthembu
T02019;S002;Rivonia;C2137;Guest;P0025;Novel Book;Books;5;199.99;999.95;Cash;2026/06/22;Noah Pillay
T02020;S002;Rivonia;C1327;Member;P0001;Wireless Headphones;Electronics;1;899.99;899.99;Cash;2026/03/15;Jessica Naidoo
T02021;S002;Rivonia;C1001;Member;P0001;Wireless Headphones;Electronics;3;899.99;2699.97;Bank Transfer;2026/02/20;Sarah Mokoena
T02022;S002;Rivonia;C0369;Guest;P0009;Electric Kettle;Appliances;6;499.99;2999.94;Card;2026/04/06;Noah Pillay
T02023;S002;Rivonia;C2614;Member;P0024;Storage Container Set;Kitchen;6;349.99;2099.94;Bank Transfer;2026/06/01;Liam Jacobs
T02024;S002;Rivonia;C0984;Guest;P0006;Coffee Maker;Appliances;3;1299.99;3899.97;Card;2026/03/24;Sarah Mokoena
T02025;S002;Rivonia;C2696;Member;P0014;Yoga Mat;Sportswear;6;399.99;2399.94;Bank Transfer;2026/06/13;Olivia Dlamini
T02026;S002;Rivonia;C2332;Member;P0016;Skincare Set;Beauty;5;599.99;2999.95;Mobile Pay;2026/05/14;Michael Williams
T02027;S002;Rivonia;C2285;Guest;P0007;Air Fryer;Appliances;4;1799.99;7199.96;Cash;2026/01/03;Sophie Mthembu
T02028;S002;Rivonia;C0209;Member;P0006;Coffee Maker;Appliances;5;1299.99;6499.95;Bank Transfer;2026/02/18;Noah Pillay
T02029;S002;Rivonia;C0778;Member;P0009;Electric Kettle;Appliances;3;499.99;1499.97;Bank Transfer;2026/06/02;Emma Nkosi
T02030;S002;Rivonia;C0498;Member;P0006;Coffee Maker;Appliances;5;1299.99;6499.95;Bank Transfer;2026/01/04;Noah Pillay
T02031;S002;Rivonia;C1509;Member;P0008;Blender;Appliances;6;899.99;5399.94;Card;2026/05/27;Liam Jacobs
T02032;S002;Rivonia;C0097;Member;P0024;Storage Container Set;Kitchen;1;349.99;349.99;Mobile Pay;2026/01/15;Michael Williams
T02033;S002;Rivonia;C0182;Member;P0005;Laptop Backpack;Accessories;1;549.99;549.99;Cash;2026/02/17;Noah Pillay
T02034;S002;Rivonia;C0578;Member;P0011;Denim Jeans;Clothing;1;799.99;799.99;Cash;2026/01/20;Jessica Naidoo
T02035;S002;Rivonia;C0409;Guest;P0005;Laptop Backpack;Accessories;4;549.99;2199.96;Bank Transfer;2026/04/17;Liam Jacobs
T02036;S002;Rivonia;C0718;Member;P0012;Hooded Sweatshirt;Clothing;4;599.99;2399.96;Card;2026/05/19;Liam Jacobs
T02037;S002;Rivonia;C1205;Member;P0017;Face Moisturiser;Beauty;6;249.99;1499.94;Mobile Pay;2026/04/02;Liam Jacobs
